"Country or Area","Year","Value","Value Footnotes"
"Sweden","2014","",""
"Sweden","2013","99.53925",""
"Sweden","2012","99.27005",""
"Sweden","2011","99.23112",""
"Sweden","2010","99.07924",""
"Sweden","2009","99.05963",""
"Sweden","2008","98.10463",""
"Sweden","2007","96.09789",""
"Sweden","2006","95.01156",""
"Sweden","2005","95.27811",""
"Sweden","2004","96.66779",""
"Sweden","2003","98.83253",""
"Sweden","2002","99.29285",""
"Sweden","2000","99.10255",""
"Sweden","1998","",""
"Sweden","1991","99.8718",""
"Sweden","1990","99.57878",""

