"Country or Area","Year","Value","Value Footnotes"
"Niger","2014","",""
"Niger","2013","57.99298",""
"Niger","2012","57.87286",""
"Niger","2011","55.6237",""
"Niger","2010","50.6106",""
"Niger","2009","46.40412",""
"Niger","2008","42.48314",""
"Niger","2007","38.4551",""
"Niger","2006","37.01721",""
"Niger","2005","35.5914",""
"Niger","2004","35.07479",""
"Niger","2003","32.08219",""
"Niger","2002","28.61455",""
"Niger","2001","25.66356",""
"Niger","2000","22.63987",""
"Niger","1999","21.77533",""
"Niger","1998","20.06881",""
"Niger","1997","19.50827",""
"Niger","1996","",""
"Niger","1995","",""
"Niger","1994","",""
"Niger","1993","",""
"Niger","1992","16.93623",""
"Niger","1991","18.36299",""
"Niger","1990","17.78416",""

